"gene"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"FBgn0000003"	3.35913875067438	-0.939963440115739	1.06134264022861	-0.885636178636218	0.375813609568004	NA
"FBgn0000008"	1061.38457899179	-0.297138755902478	0.121988443050777	-2.43579431355473	0.0148591311276667	0.10001087231901
"FBgn0000014"	1.32107193641595	0.688639209875108	1.68803261316519	0.407953735315491	0.683307641071141	NA
"FBgn0000015"	8.89418806917335	-0.657174628516635	0.647122787576323	-1.01553312776692	0.309851763389476	NA
"FBgn0000017"	5124.86394840227	0.215254292477396	0.0835074382778972	2.57766609677416	0.00994700637608726	0.076873719043996
"FBgn0000018"	12.7439454562362	0.610697115807152	0.54097365069158	1.12888514075766	0.258946289881749	NA
"FBgn0000022"	0.144448959631324	-1.00334766921301	4.0804728567969	-0.245890048635349	0.805767347417768	NA
"FBgn0000024"	20985.1027914361	0.140505572497537	0.0902219677495833	1.55733216645772	0.119391642156944	0.350474699230826
"FBgn0000028"	1459.32168779896	-0.229707291579045	0.147610247940142	-1.55617441732226	0.119666622968637	0.350610239507217
"FBgn0000032"	78.7872752796489	0.0773903832128356	0.234625084318439	0.329847012895686	0.741515562299319	0.896280661211915
"FBgn0000036"	7003.54115368921	-0.513736838227461	0.0946149019949071	-5.429766637132	5.6427788417513e-08	4.47238867853978e-06
"FBgn0000037"	1705.18903300276	-0.223311073498572	0.0948799425630037	-2.35361729219308	0.018591741374658	0.115667882522501
"FBgn0000038"	4749.50019571254	-0.171260372137579	0.090181146804892	-1.89907068389918	0.057555183012697	0.229870700529425
"FBgn0000039"	515.050804664836	-0.144863602786389	0.128058668153582	-1.13122840394258	0.257958969768144	0.540806275751541
"FBgn0000042"	7144.92016295636	-0.620006340192553	0.115602365856285	-5.36326688126206	8.17301111564976e-08	6.1389980200713e-06
"FBgn0000043"	217.140667041683	-0.0682897916910153	0.157077855485137	-0.43475123517635	0.663743004606173	0.854008113466274
