"gene"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"FBgn0000003"	3.88449469764053	-0.570422366180778	0.940174861005251	-0.606719441073837	0.544037118042813	0.999505721278758
"FBgn0000008"	26.114638623793	-0.241150754955909	0.399864416363035	-0.603081307282339	0.546454601056303	0.999505721278758
"FBgn0000014"	415.148995720544	0.379911292659303	0.161299450671086	2.3553167173148	0.0185069242838515	0.812775961858586
"FBgn0000015"	83.314133005264	0.100069493588751	0.494965166491347	0.202174820297178	0.839780057146849	0.999505721278758
"FBgn0000017"	6677.82707984393	0.103036282420181	0.066798351068481	1.54249739360406	0.122952770818951	0.999505721278758
"FBgn0000018"	48.2662275231655	0.344865271282049	0.283952398709764	1.2145179010604	0.224550018275212	0.999505721278758
"FBgn0000022"	0.33132369457079	-0.210728741504478	3.27735561727908	-0.0642984058225053	0.948732622799474	NA
"FBgn0000024"	982.291521998499	-0.0141931843055262	0.119997071818169	-0.118279422076507	0.905846261738765	0.999505721278758
"FBgn0000028"	1332.3748943493	-0.155611164249313	0.119102044406304	-1.30653646648131	0.191370186331556	0.999505721278758
"FBgn0000032"	68.6679750437689	-0.0138834360211657	0.237984858133093	-0.0583374763002835	0.953479816561244	0.999505721278758
"FBgn0000036"	3942.4177567564	-0.258549382131639	0.107649112567342	-2.40177903900414	0.0163155602712626	0.772474308482261
"FBgn0000037"	713.881170412878	-0.182635548639744	0.126454309545427	-1.44428093669781	0.148659965913553	0.999505721278758
"FBgn0000038"	232.080941792414	-0.115228171867697	0.140812197395689	-0.81831101281589	0.413179619290105	0.999505721278758
"FBgn0000039"	286.208403741437	-0.270434437624381	0.129283079720073	-2.09180070748571	0.0364563470594963	0.999505721278758
"FBgn0000042"	111381.15177431	-0.183788620305348	0.0865458302562715	-2.12359878877042	0.0337037069262584	0.999505721278758
"FBgn0000043"	9052.28490343592	0.0274201998113637	0.0738124175510477	0.371484917052069	0.710276387986048	0.999505721278758
"FBgn0000044"	14.7266038894666	-0.0971628907987351	0.530505426953426	-0.183151549187196	0.854679109376906	0.999505721278758
"FBgn0000045"	7.13303911097599	-0.642860996446546	0.769463827448258	-0.835466169447418	0.403455287225765	0.999505721278758
"FBgn0000046"	12.3057760806209	0.00819329625712356	0.542188802527486	0.0151115187531159	0.987943211375706	0.999505721278758
"FBgn0000047"	11.8664225145619	0.532452754728203	0.553788543909743	0.961473039816047	0.336314374875018	0.999505721278758
"FBgn0000052"	82.8538093220006	0.0993313166582029	0.220192259687268	0.451111754787747	0.651909006079108	0.999505721278758
"FBgn0000053"	85.218256246057	-0.0508614022812173	0.215792486877665	-0.23569589014492	0.813668659251204	0.999505721278758
"FBgn0000054"	1107.83397931751	-0.0236305050074472	0.100224049045317	-0.2357767944175	0.813605875928803	0.999505721278758
"FBgn0000055"	0	NA	NA	NA	NA	NA
"FBgn0000056"	0	NA	NA	NA	NA	NA
"FBgn0000057"	112.121642349319	0.0854663829684942	0.198119787121241	0.431387415716292	0.666186698575714	0.999505721278758
"FBgn0000061"	0.730175803793	0.214371005265437	2.31253870813552	0.0926994235864158	0.926142354952196	0.999505721278758
